"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Achalarus_albociliatus",,,"Achalarus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Achalarus_casica",,,"Achalarus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Achalarus_jalapus",,,"Achalarus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Achalarus_lyciades",,,"Achalarus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Achalarus_toxeus",,,"Achalarus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Achlyodes_thraso",,,"Achlyodes",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta",,,
"Adelpha_basiloides",,,"Adelpha","Limenitidini","Limenitidinae","Nymphalidae","Lepidoptera","Insecta",,,
"Adelpha_bredowii",,,"Adelpha","Limenitidini","Limenitidinae","Nymphalidae","Lepidoptera","Insecta",,,
"Adelpha_fessonia",,,"Adelpha","Limenitidini","Limenitidinae","Nymphalidae","Lepidoptera","Insecta",,,
"Adopaeoides_prittwitzi",,,"Adopaeoides",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_alliae",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_aryxna_baueri",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_aryxna_gentryi",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_evansi",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_mariae",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_neumoegeni",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_polingi",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_remingtoni",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agathymus_stephensi",,,"Agathymus",,"Megathyminae","Hesperiidae","Lepidoptera","Insecta",,,
"Agraulis_vanillae",,,"Agraulis","Heliconiini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Agriades_cassiope",,,"Agriades",,"Polyommatinae","Lycaenidae","Lepidoptera","Insecta",,,
"Agriades_glandon_franklinii",,,"Agriades",,"Polyommatinae","Lycaenidae","Lepidoptera","Insecta",,,
"Agriades_glandon_glandon",,,"Agriades",,"Polyommatinae","Lycaenidae","Lepidoptera","Insecta",,,
"Agriades_glandon_podarce",,,"Agriades",,"Polyommatinae","Lycaenidae","Lepidoptera","Insecta",,,
"Aguna_asander",,,"Aguna","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Aguna_claxon",,,"Aguna","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Aguna_metophis",,,"Aguna","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Allosmaitia_strophius",,,"Allosmaitia","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Amblyscirtes_aenus",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_aesculapius",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_alternata",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_belli",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_carolina",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_cassus",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_celia",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_elissa",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_eos",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_exoteria",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_fimbriata",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_hegon",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_linda",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_nereus",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_nysa",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_oslari",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_phylace",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_reversa",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_simius",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_texanae",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_tolteca",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_tolteca_prenda",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Amblyscirtes_vialis",,,"Amblyscirtes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Anaea_aidea",,,"Anaea","Anaeini","Charaxinae","Nymphalidae","Lepidoptera","Insecta",,,
"Anaea_andria",,,"Anaea","Anaeini","Charaxinae","Nymphalidae","Lepidoptera","Insecta",,,
"Anaea_echemus",,,"Anaea","Anaeini","Charaxinae","Nymphalidae","Lepidoptera","Insecta",,,
"Anaea_floridalis",,,"Anaea","Anaeini","Charaxinae","Nymphalidae","Lepidoptera","Insecta",,,
"Anaea_glycerium",,,"Anaea","Anaeini","Charaxinae","Nymphalidae","Lepidoptera","Insecta",,,
"Anaea_pithyusa",,,"Anaea","Anaeini","Charaxinae","Nymphalidae","Lepidoptera","Insecta",,,
"Anartia_chrysopelea",,,"Anartia","Victorinini","Nymphalinae","Nymphalidae","Lepidoptera","Insecta",,,
"Anartia_fatima",,,"Anartia","Victorinini","Nymphalinae","Nymphalidae","Lepidoptera","Insecta",,,
"Anartia_jatrophae",,,"Anartia","Victorinini","Nymphalinae","Nymphalidae","Lepidoptera","Insecta",,,
"Anatrytone_logan",,,"Anatrytone",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Anatrytone_mazai",,,"Anatrytone",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Ancyloxypha_arene",,,"Ancyloxypha",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Ancyloxypha_numitor",,,"Ancyloxypha",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Antigonus_emorsus",,,"Antigonus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta",,,
"Antigonus_stator",,,"Antigonus",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta",,,
"Arawacus_jada",,,"Arawacus","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Arteurotia_tractipennis",,,"Arteurotia",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta",,,
"Asbolis_capucinus",,,"Asbolis",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Asterocampa_celtis",,,"Asterocampa",,"Apaturinae","Nymphalidae","Lepidoptera","Insecta",,,
"Asterocampa_clyton",,,"Asterocampa",,"Apaturinae","Nymphalidae","Lepidoptera","Insecta",,,
"Asterocampa_idyja_argus",,,"Asterocampa",,"Apaturinae","Nymphalidae","Lepidoptera","Insecta",,,
"Asterocampa_leilia",,,"Asterocampa",,"Apaturinae","Nymphalidae","Lepidoptera","Insecta",,,
"Astraptes_alardus",,,"Astraptes","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Astraptes_anaphus",,,"Astraptes","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Astraptes_egregius",,,"Astraptes","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Astraptes_fulgerator",,,"Astraptes","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Astraptes_gilberti",,,"Astraptes","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Atalopedes_campestris",,,"Atalopedes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Atlides_halesus",,,"Atlides","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Atrytone_arogos",,,"Atrytone",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Atrytonopsis_cestus",,,"Atrytonopsis",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Atrytonopsis_deva",,,"Atrytonopsis",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Atrytonopsis_edwardsii",,,"Atrytonopsis",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Atrytonopsis_hianna",,,"Atrytonopsis",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Atrytonopsis_hianna_loammi",,,"Atrytonopsis",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Atrytonopsis_lunus",,,"Atrytonopsis",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Atrytonopsis_pittacus",,,"Atrytonopsis",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Atrytonopsis_python",,,"Atrytonopsis",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Atrytonopsis_vierecki",,,"Atrytonopsis",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Autochton_cellus",,,"Autochton","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Autochton_cincta",,,"Autochton","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Autochton_pseudocellus",,,"Autochton","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Battus_philenor",,,"Battus",,,,,,,,
"Battus_polydamas",,,"Battus",,,,,,,,
"Biblis_hyperia",,,"Biblis","Biblidini","Biblidinae","Nymphalidae","Lepidoptera","Insecta",,,
"Bolla_brennus",,,"Bolla",,,,,,,,
"Bolla_clytius",,,"Bolla",,,,,,,,
"Boloria_alberta",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_astarte",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_bellona",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_chariclea",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_epithore",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_eunomia",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_freija",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_frigga",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_improba",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_improba_acrocnema",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_improba_harryi",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_kriemhild",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_montinus",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_napaea",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_natazhati",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_polaris",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Boloria_selene",,,"Boloria","Argynnini","Heliconiinae","Nymphalidae","Lepidoptera","Insecta",,,
"Brephidium_exile",,,"Brephidium",,"Polyommatinae","Lycaenidae","Lepidoptera","Insecta",,,
"Brephidium_isophthalma",,,"Brephidium",,"Polyommatinae","Lycaenidae","Lepidoptera","Insecta",,,
"Cabares_potrillo",,,"Cabares","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Callophrys_augustinus",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_dumetorum_affinis",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_dumetorum_apama",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_dumetorum_dumetorum",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_dumetorum_viridis",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_eryphon",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_fotis",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_gryneus_gryneus",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_gryneus_loki",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_gryneus_muiri",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_gryneus_nelsoni",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_gryneus_siva",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_gryneus_sweadneri",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_gryneus_thornei",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_henrici",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_hesseli",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_irus",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_johnsoni",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_lanoraieensis",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_mcfarlandi",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_mossii",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_niphon",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_polios",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_sheridani_comstocki",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_sheridani_lemberti",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_sheridani_sheridanii",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_spinetorum",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Callophrys_xami",,,"Callophrys","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Calpodes_ethlius",,,"Calpodes",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Calycopis_cecrops",,,"Calycopis","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Calycopis_isobeon",,,"Calycopis","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Carrhenes_canescens",,,"Carrhenes",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta",,,
